Var1,Var2,Var3,Var4,Var5,Var6,Var7
2007,4,11.7734083876826,1.13424396944039,15.06976,9.619094,2533
2007,5,12.4432678889264,1.19811668246265,15.862804,9.63309,2962
2007,6,13.543121880029,1.55112363516952,17.824669,10.848944,2759
2007,7,14.0704513754237,1.56566281625636,18.617868,11.383389,2360
2007,8,15.0216283279297,1.50242529557205,18.791878,11.94288,2961
2007,9,15.085269504187,1.5444032910807,19.08626,12.066351,2866
2007,10,13.5654703939087,1.39606924724626,17.832168,10.501298,2955
2007,11,12.8949501825872,1.00440275548883,15.96801,11.226093,2837
2007,12,11.5281256370395,0.608923410335022,13.144359,9.840245,2959
2008,1,11.5425248342342,0.563518878842911,13.160295,9.897982,2775
2008,2,11.8781791763006,0.594452663864177,13.980971,10.502459,2768
2008,3,11.6178475463119,1.04683889131872,14.732011,9.731622,2969
2008,4,11.1093576622563,1.10646453187094,14.516354,9.068689,2872
2008,5,12.290155786955,1.46679256882065,17.402853,9.17382,2821
2008,6,13.2775257109403,1.66660325640112,18.252197,9.757688,2861
2008,7,14.8080919656863,1.57685911720376,19.544287,12.053042,2448
2008,8,15.5771112817048,1.34877282681898,19.381094,12.866816,2886
2008,9,15.7225864575209,1.33309567385559,19.211717,12.859648,2872
2008,10,15.2240817696079,1.37434031219801,18.635728,13.313593,612
2008,11,14.2085191936219,0.363167455125352,14.966307,13.531572,439
2008,12,12.7250602070707,1.07217655118348,15.2932,10.623907,2970
2009,1,12.0945061560499,0.730591747129504,13.769415,10.179263,2967
2009,2,12.5657514342154,0.577121132996395,15.076888,11.051312,2683
2009,3,11.8939367809973,0.986523820243761,14.365561,9.787783,2968
2009,4,11.7051044058475,1.16843758884836,15.99073,9.593243,2873
2009,5,12.5577831948839,1.45508932859436,15.965009,9.623745,2971
2009,6,14.9664115516881,1.55920793977255,19.468481,12.00872,2873
2009,7,14.5747957276673,1.47169149689642,18.751636,11.916254,2765
2009,8,14.7487950982112,1.54767390256102,19.290824,11.8379,2963
2009,9,14.6939307775453,1.31625438645261,18.327761,12.223264,2868
2009,10,14.3634524935637,1.47047553363063,18.790028,11.535629,2952
2009,11,12.9017265536585,0.593247348063287,15.199755,11.69466,2870
2009,12,12.7978023083923,0.518692842211677,13.7671,10.55431,2967
2010,1,13.312017837765,0.595267458688406,14.680975,9.975861,2971
2010,2,13.5163338917102,0.459297060527987,15.509154,12.297707,2678
2010,3,12.5467208159757,1.00401501113046,14.955369,10.526319,2967
2010,4,12.7478807135888,1.02567664296656,16.024342,10.413204,2870
2010,5,12.4319851530681,1.32459800015515,15.816581,9.780429,2966
2010,6,NaN,NaN,NaN,NaN,0
2010,7,13.8016276237942,1.41197866137734,16.591984,11.83745,311
2010,8,14.1808961587121,1.49484724387549,18.40971,10.981633,2640
2010,9,13.9337727191997,1.50904238272511,18.670012,11.513416,2849
2010,10,14.1704688267851,1.05233308529465,17.44096,11.883848,2927
2010,11,12.9511084131647,0.905186886543995,15.696828,10.62343,2689
2010,12,12.3688159886028,0.702243380543681,13.916513,10.500187,2369
2011,1,11.6585294040541,0.61768041816141,13.525123,10.154209,1480
2011,2,11.9913121114106,0.463537285727937,14.000664,10.615829,2226
2011,3,11.923283591231,0.950651728596827,15.219855,10.251155,2965
2011,4,12.3212711201537,1.18328839962482,15.555125,9.98262,2863
2011,5,12.814543298924,1.39424296898539,16.444689,9.9514,2974
2011,6,13.6076689571876,1.56868696469424,17.583381,10.462639,2873
2011,7,14.7793298517674,1.51945747675255,18.513171,11.945153,1754
2011,8,14.6956395327616,1.5430948359916,18.916569,11.905444,2915
2011,9,14.9124701841003,1.36099257940329,18.854273,12.449747,2873
2011,10,14.5591854557402,1.29023475778634,18.46646429,11.58577143,2972
2011,11,13.2047373276262,0.580303782942752,15.95637143,11.92046,2873
2011,12,12.2679854930656,0.518455926909685,13.45222857,10.80101429,2864
2012,1,11.9234172648456,0.507710404561049,14.18344,9.47818,2966
2012,2,11.5783511664912,0.91736141269908,14.1259,9.639793333,2777
2012,3,11.2620108245296,0.967304216272291,14.80296875,9.523028571,2972
2012,4,11.7729532732779,1.23860545492935,15.90754286,9.192257143,2875
2012,5,12.4509287951825,1.36363685823583,15.91022857,9.936853333,2976
2012,6,13.5981981094122,1.68775745817748,17.92057857,10.35949286,2875
2012,7,14.3632671106476,1.42168639068949,18.25962143,11.77983333,2440
2012,8,15.5501125,0.888143794839834,16.178125,14.9221,2
2012,9,15.3218034540566,1.42715242132989,19.18117857,13.66247143,212
2012,10,NaN,NaN,NaN,NaN,0
2012,11,NaN,NaN,NaN,NaN,0
2012,12,NaN,NaN,NaN,NaN,0
2013,1,11.7025671963204,0.392267042946511,12.70387222,10.25317358,1810
2013,2,11.8356610978359,0.517201176513892,13.65451667,10.16084151,1853
2013,3,11.6398544601818,0.706209355293131,14.05162075,10.78523774,605
2013,4,NaN,NaN,NaN,NaN,0
2013,5,NaN,NaN,NaN,NaN,0
2013,6,14.0789708888229,1.79640338978871,17.93819636,11.25789444,875
2013,7,14.3820937967857,1.47146289456827,18.66418214,11.97397963,1372
2013,8,15.419166420126,1.45273450386541,18.83199348,13.35305116,873
2013,9,14.0176231826735,1.44991430193626,18.42235536,11.79981636,1268
2013,10,14.2316471569859,0.807088177776456,16.70974464,11.90822,2913
2013,11,13.5887127174902,0.532893305781096,15.59258704,12.18901132,2813
2013,12,12.6828952483458,0.724062387683183,14.38359811,9.755005769,2727
2014,1,13.0888164983765,0.415398486013477,13.824052,11.57695577,2199
2014,2,12.6143805335215,0.832672006563372,14.95913036,10.99605636,2019
2014,3,13.6611796920385,0.854123514256728,16.69726909,11.44472453,2909
2014,4,12.6584865730493,1.06861809653767,15.76580189,10.17364808,2817
2014,5,13.4989843769683,1.29251608295118,17.56563333,10.87466731,2906
2014,6,14.2877724008563,1.27567982678529,17.875184,12.009644,2791
2014,7,16.4268915317572,1.45758420092767,21.03433878,13.786618,2908
2014,8,16.9535177144796,1.40227355194829,20.92892553,14.18127551,2911
2014,9,16.1564067772707,1.16229499553159,20.26008936,13.92309149,1352
2014,10,17.3967274593343,1.11390019145411,19.96830426,15.02637872,2103
2014,11,15.4372778268837,0.586728312432007,17.03153261,13.72136087,2211
2014,12,13.4142035078125,0.178885226908347,13.60278511,12.73810196,32
2015,1,14.4728562584172,0.698713329131534,15.77265556,11.48543125,2704
2015,2,15.0229148576932,0.549823013954161,17.10134444,13.0344537,2627
2015,3,13.9951529147296,0.856383351998708,16.76291481,12.17628333,2867
2015,4,12.8135922484809,1.05631601948004,16.18417708,10.81929623,2745
2015,5,13.7776928822905,1.21058008689375,17.27295106,11.09889362,2912
2015,6,14.3050231797264,1.33753871548123,18.10718696,11.98358696,2814
2015,7,16.4053070175885,1.63692359427285,20.84911136,12.61526444,2542
2015,8,17.109490978799,1.44241382441831,21.29227308,13.40805577,2756
2015,9,18.1727060263166,1.29284467177295,21.81360784,15.06908824,2818
2015,10,17.7164286067079,1.03870159018465,20.814096,14.383782,2910
2015,11,14.7271531615475,0.827989500221342,17.76721224,12.65931224,2811
2015,12,14.3051958684877,1.25172385568533,16.72646458,10.97954107,2731
2016,1,13.7994651770622,0.488133437300831,15.09661091,11.58392931,2798
2016,2,13.5166151077642,0.962359309775517,16.20883962,11.30671818,2773
2016,3,13.6233490151799,1.08549956969681,16.68578333,10.88198462,2973
2016,4,12.8819140280452,1.21196148556774,16.65294902,10.73202157,2788
2016,5,13.5909210605355,1.26592665514842,16.97072917,11.27138944,2652
2016,6,14.0024403720157,1.39448685900491,17.48119437,11.55218857,2798
2016,7,14.4995881704384,1.31537808175463,18.23033913,12.13803143,2874
2016,8,15.1486787704895,1.247695557378,19.31873333,12.85003788,2921
2016,9,15.3806258486927,1.18380570461224,19.13717813,13.05765077,2509
2016,10,14.8312289341602,1.19479347667099,17.91614219,11.98502063,2971
2016,11,14.3768176174521,1.03755146080385,17.57160317,12.31842833,2873
2016,12,12.2761458000169,0.755723101007621,14.54983333,10.62957255,1780
2017,1,12.6612317913782,0.512897232605077,14.29626224,11.17651418,1589
2017,2,13.5868850066759,0.581651081215338,15.06378633,11.991476,1441
2017,3,12.5632147377358,1.21908410603841,15.96496667,10.58145,318
2017,4,12.6661174230357,1.1222166753164,15.632,10.6716,224
2017,5,12.8349513735097,1.36833370781226,16.62174216,10.29438919,2721
2017,6,14.1349458770682,1.53233637776744,18.35873548,11.41593441,1893
2017,7,15.1659009366067,1.51026447615891,19.37304239,11.69142366,2667
2017,8,15.7967507282816,1.27977216859413,19.42835543,13.3892043,2898
2017,9,16.1280864789531,1.6878209801755,20.71953118,12.26891075,2474
2017,10,14.4265324059976,1.12087471992529,17.84938378,12.03109786,2496
2017,11,14.5207676587554,0.812727174527636,16.43084486,12.36940324,2322
2017,12,13.5028093119516,0.449201168878127,14.43099239,12.01361522,1737
2018,1,12.958869815852,0.957697028163695,15.15506022,11.4112,1473
2018,2,12.5493946209871,0.974697490930054,14.85617778,10.54210139,2016
2018,3,12.8711188929026,0.786464239422005,15.27903194,11.07738194,2670
2018,4,12.727080961592,1.27272451768797,16.13716897,10.52485172,2657
2018,5,13.0147050360207,1.2790526216716,16.31250833,10.49526806,2704
2018,6,13.6602893002255,1.45752487871609,17.44726087,10.253675,2838
2018,7,15.0533805597754,1.52822693437917,19.32303261,12.27273696,2939
2018,8,16.2915078509514,1.59150341303194,20.19577935,12.69287065,2964
2018,9,15.4825016459657,1.35120941360077,19.70323696,12.38420109,2506
2018,10,16.1153371003655,1.1262366602538,18.69427935,13.30710435,2709
2018,11,15.9778329554482,1.22111828810689,17.57444348,13.29510652,2867
2018,12,13.8711730687188,0.850379060083332,15.46646848,11.45623696,2966
2019,1,13.6354085192014,0.924464261870936,15.03569306,10.85949348,2855
2019,2,13.0443040865646,0.71602882954184,14.30933472,11.04188333,2646
2019,3,13.3412613029584,0.975153578043871,16.52409167,11.3168875,2934
2019,4,13.2681528485916,1.27857919622537,16.68425972,10.57137917,2840
2019,5,13.9365386745291,1.23584345830334,17.27129306,11.0042375,2941
2019,6,14.2811827984963,1.46870159255198,18.44660417,11.16008194,2833
2019,7,14.642787483834,1.48105009015146,18.83633056,12.09803056,2916
2019,8,15.4242837109213,1.46407326081576,19.99331429,12.70673286,2909
2019,9,15.3869734807094,1.37594796026479,19.24134429,12.57813429,2763
2019,10,14.0881291432837,1.01191060247395,16.61717714,12.03963286,2756
2019,11,14.6526608170046,0.952386876423773,16.50655143,11.71723803,2664
